,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
288,Zheleznodorozhnyy,55.7503,38.0042,45.14,88,99,6.31,RU,1666215327
289,Fairbanks,64.8378,-147.7164,38.82,90,100,3.44,US,1666215094
290,Laas,46.6166,10.7002,56.28,75,57,2.06,IT,1666215327
291,Orotukan,62.2667,151.7,5.86,95,100,4.63,RU,1666215328
292,Posse,-14.0931,-46.3694,84.78,20,81,7.76,BR,1666215081
293,Karia,11.7306,11.1629,80.46,27,78,7.56,NG,1666215328
294,Briançon,44.9,6.65,57.36,56,69,1.25,FR,1666215328
295,Gonder,12.6,37.4667,56.35,73,20,3.33,ET,1666215329
296,Wabash,40.7978,-85.8205,51.37,40,2,15.73,US,1666215329
297,Bonavista,48.6499,-53.1147,53.17,88,7,11.23,CA,1666215143
298,Usinsk,65.9939,57.5281,32.16,85,100,15.64,RU,1666215299
299,Isangel,-19.55,169.2667,78.91,69,90,6.91,VU,1666215162
300,Forquilhinha,-28.7475,-49.4722,66.07,91,76,2.35,BR,1666215329
301,Eyl,7.9803,49.8164,77.95,84,10,11.32,SO,1666215273
302,Saldanha,-33.0117,17.9442,62.65,90,73,10.49,ZA,1666215149
303,Acajutla,13.5928,-89.8275,81.99,84,72,9.64,SV,1666215261
304,Boo,59.3333,18.2833,41.77,87,54,5.75,SE,1666215330
305,Laguna,38.421,-121.4238,90.32,28,0,3.44,US,1666215288
306,Kopargaon,19.8833,74.4833,73.04,84,32,5.97,IN,1666215330
307,Codajás,-3.8367,-62.0569,77.29,88,90,2.24,BR,1666215330
308,Neepawa,50.2289,-99.4664,66.6,43,85,11.45,CA,1666215331
309,Richards Bay,-28.783,32.0377,72.0,83,97,12.48,ZA,1666215144
310,Demba,-5.51,22.2667,67.82,96,97,3.13,CD,1666215331
311,Katsuura,35.1333,140.3,51.82,62,0,12.84,JP,1666215331
312,Kalangala,-0.3089,32.225,71.46,73,98,5.23,UG,1666215332
313,Upernavik,72.7868,-56.1549,21.25,82,100,2.77,GL,1666215149
314,Katherine,-14.4667,132.2667,75.52,88,56,0.0,AU,1666215332
315,Longyearbyen,78.2186,15.6401,28.24,64,40,25.32,SJ,1666215153
316,Ketchikan,55.3422,-131.6461,54.07,94,75,14.97,US,1666215324
317,Provideniya,64.3833,-173.3,33.91,100,100,22.37,RU,1666215189
318,Mahibadhoo,3.7833,72.9667,81.43,75,80,14.05,MV,1666215333
319,Tonj,7.2737,28.6822,71.65,92,79,0.25,SS,1666215333
320,Øystese,60.3882,6.1925,37.58,82,4,2.86,NO,1666215333
321,Seoul,37.5683,126.9778,45.84,97,0,2.3,KR,1666215052
322,Tuatapere,-46.1333,167.6833,48.88,74,72,10.6,NZ,1666215165
323,Boueni,-12.9025,45.0761,73.38,74,16,7.58,YT,1666215333
324,Yazman,29.1212,71.7446,77.36,24,0,11.32,PK,1666215334
325,Buala,-8.145,159.5921,85.17,67,92,2.82,SB,1666215334
326,Helmstedt,52.2279,11.0099,44.55,87,97,7.18,DE,1666215334
327,Vanderhoof,54.0166,-124.0198,56.82,65,100,5.35,CA,1666215335
328,Coyhaique,-45.5752,-72.0662,56.01,67,75,9.22,CL,1666215335
329,Grants Pass,42.439,-123.3284,84.88,27,0,4.61,US,1666215211
330,Labuhan,-6.8844,112.2051,78.17,87,99,5.1,ID,1666215293
331,Sisimiut,66.9395,-53.6735,25.56,80,90,7.38,GL,1666215183
332,Kahului,20.8947,-156.47,87.82,61,20,10.36,US,1666215191
333,Lohja,60.2486,24.0653,42.48,100,53,5.01,FI,1666215335
334,Zyryanka,65.75,150.85,10.15,87,100,16.04,RU,1666215176
335,Gimli,50.6336,-96.9907,42.82,65,88,5.75,CA,1666215336
336,Lao Cai,22.4833,103.95,63.81,71,91,0.92,VN,1666215336
337,Bathsheba,13.2167,-59.5167,83.01,83,20,12.66,BB,1666215040
338,Bulgan,48.8125,103.5347,37.27,78,100,1.83,MN,1666215336
339,Inuvik,68.3499,-133.7218,27.36,93,100,9.22,CA,1666215337
340,Powell River,49.8496,-124.5361,64.04,63,40,9.22,CA,1666215337
341,Obukhiv,50.11,30.6227,47.59,74,99,15.88,UA,1666215337
342,Fukuechō,32.6881,128.8419,65.12,57,0,18.3,JP,1666215339
343,Abu Kamal,34.4506,40.9171,80.22,18,98,7.36,SY,1666215284
344,Emerald,-23.5333,148.1667,67.33,96,70,14.29,AU,1666215180
345,Yakeshi,49.2833,120.7333,31.73,66,71,4.07,CN,1666215339
346,Nelson Bay,-32.7167,152.15,66.99,97,100,7.0,AU,1666215285
347,Copiapó,-27.3667,-70.3333,58.69,28,0,7.47,CL,1666215339
348,Parfino,57.9731,31.6481,36.09,91,14,5.3,RU,1666215340
349,Ust'-Karsk,52.7011,118.8077,28.02,85,7,3.42,RU,1666215340
350,Rodolfo Sánchez Taboada,31.7167,-116.5667,75.09,73,15,7.0,MX,1666215340
351,Sitka,57.0531,-135.33,53.49,82,100,23.02,US,1666215175
352,San Cristobal,7.7669,-72.225,78.98,92,95,2.33,VE,1666215145
353,Qeshm,26.9581,56.2719,78.69,57,70,2.91,IR,1666215341
354,Lebu,-37.6167,-73.65,54.28,82,41,7.99,CL,1666215215
355,Lokosovo,61.1333,74.8167,39.24,87,100,9.98,RU,1666215341
356,Şile,41.1754,29.6133,57.56,76,32,1.81,TR,1666215341
357,Kralendijk,12.15,-68.2667,84.18,74,40,17.27,BQ,1666215342
358,Kangaatsiaq,68.3065,-53.4641,31.46,54,100,20.51,GL,1666215287
359,Okhotsk,59.3833,143.3,20.37,55,0,17.2,RU,1666215211
360,Margate,51.3813,1.3862,59.9,85,100,7.0,GB,1666215257
361,Gwadar,25.1216,62.3254,81.79,50,78,5.35,PK,1666215342
362,Enterprise,36.0252,-115.2419,87.1,17,20,11.5,US,1666214866
363,Udimskiy,61.1417,45.9144,34.68,81,100,6.85,RU,1666215342
364,Goderich,43.7501,-81.7165,42.91,75,100,16.11,CA,1666215343
365,Mandalgovi,45.7625,106.2708,39.4,31,14,6.22,MN,1666215236
366,Cidreira,-30.1811,-50.2056,63.84,94,22,3.22,BR,1666215262
367,Drayton Valley,53.2168,-114.9854,70.68,20,51,4.38,CA,1666215343
368,Bundaberg,-24.85,152.35,70.21,98,100,12.21,AU,1666215133
369,Da Lat,11.9465,108.4419,59.92,99,97,1.34,VN,1666215343
370,Nioro,13.35,-15.75,79.59,80,8,5.39,GM,1666215344
371,Sayville,40.7359,-73.0821,54.0,53,75,11.5,US,1666215344
372,Wamba,8.9333,8.6,74.95,73,54,2.44,NG,1666215344
373,Sinaloa,25.0,-107.5,96.12,41,55,3.0,MX,1666215097
374,Honiara,-9.4333,159.95,85.3,69,52,2.28,SB,1666215197
375,Camacha,33.0833,-16.3333,69.22,83,20,4.61,PT,1666215261
376,Barra de Tecoanapa,16.5167,-98.75,74.84,91,100,14.07,MX,1666215345
377,Teya,60.3778,92.6267,33.24,94,100,4.12,RU,1666215345
378,Eureka,40.8021,-124.1637,86.67,66,2,1.99,US,1666215345
379,Arawa,-6.2132,155.5367,85.39,58,83,1.86,PG,1666215346
380,Same,-4.0667,37.7333,64.0,82,82,2.8,TZ,1666215346
381,Srednekolymsk,67.45,153.6833,14.04,94,100,21.72,RU,1666215346
382,Casablanca,33.5928,-7.6192,70.02,68,100,1.34,MA,1666215120
383,Pizarro,4.9533,-77.366,76.89,90,100,8.7,CO,1666215347
384,Vila,42.0304,-8.1588,49.08,92,39,6.91,PT,1666215347
385,Port Hueneme,34.1478,-119.1951,97.52,29,0,13.8,US,1666215347
386,Macon,39.8667,-88.9668,48.25,31,0,10.36,US,1666215347
387,Jining,35.405,116.5814,47.32,58,32,7.74,CN,1666215348
388,Alvarães,-3.2208,-64.8042,84.07,84,94,2.42,BR,1666215348
389,Banepā,27.6298,85.5214,57.52,88,40,2.3,NP,1666215348
390,Salalah,17.0151,54.0924,77.09,65,0,1.14,OM,1666215170
391,Asola,45.2211,10.4136,62.01,64,13,5.39,IT,1666215349
392,Tigil',57.8,158.6667,25.18,92,98,10.71,RU,1666215349
393,Saint Paul Harbor,57.79,-152.4072,51.31,50,0,0.0,US,1666214954
394,Katobu,-4.9408,122.5276,75.69,92,86,2.17,ID,1666215349
395,Alihe,50.5667,123.7167,32.27,71,12,3.22,CN,1666215228
396,Vanavara,60.34,102.2797,29.07,85,97,4.18,RU,1666215350
397,Turaif,31.6725,38.6637,71.85,37,0,11.5,SA,1666215350
398,Yar-Sale,66.8333,70.8333,36.43,89,100,15.93,RU,1666215273
399,São João da Barra,-21.6403,-41.0511,77.09,84,87,21.72,BR,1666215178
400,Jiexiu,37.0244,111.9125,52.09,47,28,2.37,CN,1666215279
401,Semey,50.4111,80.2275,45.79,39,100,16.44,KZ,1666215350
402,Manta,-0.95,-80.7333,74.98,78,100,11.5,EC,1666215217
403,Long Xuyen,10.3833,105.4167,75.15,90,91,6.55,VN,1666215351
404,Nova Olímpia,-14.7972,-57.2881,77.05,73,97,2.01,BR,1666215104
405,Semnan,35.5729,53.3971,60.37,59,0,1.21,IR,1666215351
406,Agüimes,27.9054,-15.4461,70.43,73,20,11.5,ES,1666215351
407,Omsukchan,62.5333,155.8,7.5,94,100,5.46,RU,1666215352
408,Peace River,56.2501,-117.286,70.11,37,100,24.16,CA,1666215352
409,Nobeoka,32.5833,131.6667,56.01,75,0,8.28,JP,1666215352
410,San Isidro,-12.1167,-77.05,63.99,68,0,11.5,PE,1666215352
411,Mazatlán,23.2167,-106.4167,89.56,70,0,7.0,MX,1666215230
412,Waipawa,-41.4122,175.5153,57.87,52,6,7.14,NZ,1666215166
413,Thyborøn,56.6985,8.2124,47.14,89,29,9.51,DK,1666215353
414,Hualmay,-11.0964,-77.6139,64.08,78,64,12.06,PE,1666215353
415,Malanje,-9.5402,16.341,65.34,93,54,2.8,AO,1666215353
416,Viedma,-40.8135,-62.9967,73.74,43,92,13.49,AR,1666215354
417,Flagstaff,35.1981,-111.6513,69.53,33,0,12.66,US,1666215138
418,Nokha,27.6,73.4167,75.87,27,0,10.16,IN,1666215354
419,Araouane,18.9048,-3.5265,89.19,15,52,6.55,ML,1666215354
420,Pemba,-12.974,40.5178,75.6,80,2,9.84,MZ,1666215355
421,Aksarka,66.5606,67.7975,36.57,88,100,13.87,RU,1666215355
422,Progreso,21.2833,-89.6667,77.11,86,100,14.67,MX,1666215074
423,Skerries,53.5828,-6.1083,56.48,89,100,24.32,IE,1666215355
424,Alofi,-19.0595,-169.9187,76.89,88,1,4.61,NU,1666215184
425,Mushie,-3.0167,16.9,74.34,86,28,3.4,CD,1666215356
426,Blairgowrie,56.5916,-3.3405,50.92,93,100,1.99,GB,1666215356
427,Kruisfontein,-34.0033,24.7314,74.88,74,98,15.46,ZA,1666215184
428,Gualaquiza,-3.4,-78.55,68.2,97,99,1.23,EC,1666215356
429,Troitskoye,52.9821,84.6757,39.18,60,100,9.51,RU,1666215357
430,Alta Floresta,-9.8756,-56.0861,75.83,79,95,3.67,BR,1666215357
431,Banjar,-8.19,114.9675,76.89,88,100,3.0,ID,1666215357
432,Dukat,62.55,155.55,5.77,94,100,6.53,RU,1666215357
433,Tumut,-35.3,148.2167,64.2,71,100,3.91,AU,1666215358
434,Montepuez,-13.1256,38.9997,68.05,79,2,4.07,MZ,1666215358
435,Dois Vizinhos,-25.7336,-53.0572,66.6,96,98,2.46,BR,1666215358
436,Rhyl,53.3196,-3.4886,54.91,3,100,18.43,GB,1666215359
437,Iwanai,42.9744,140.5089,50.63,65,52,10.18,JP,1666215359
438,Solwezi,-12.1688,26.3894,65.88,34,43,4.38,ZM,1666215359
439,Lusambo,-4.9667,23.45,69.96,99,100,2.51,CD,1666215359
440,Yakima,46.4665,-120.6678,76.21,36,0,3.44,US,1666214910
441,Ürümqi,43.801,87.6005,41.95,93,91,2.24,CN,1666215172
442,Auki,-8.7676,160.7034,85.06,66,59,2.21,SB,1666215360
443,Riyadh,24.6877,46.7219,75.34,15,3,2.06,SA,1666215360
444,Santa Fe,-31.6333,-60.7,69.03,86,99,5.86,AR,1666215360
445,Lagoa,39.05,-27.9833,66.18,74,100,25.88,PT,1666215187
446,Rūdbār,30.15,62.6,62.73,40,4,15.43,AF,1666215207
447,Palembang,-2.9167,104.7458,75.29,94,40,0.0,ID,1666215289
448,Ilulissat,69.2167,-51.1,28.42,69,100,9.22,GL,1666215247
449,Oxapampa,-10.5775,-75.4017,64.8,94,83,1.54,PE,1666215361
450,Kurumkan,54.3,110.3,29.66,82,13,3.69,RU,1666215361
451,Novikovo,51.1537,37.8879,45.57,88,71,4.07,RU,1666215252
452,Dover,39.1582,-75.5244,55.08,59,64,1.01,US,1666215103
453,Juneau,58.3019,-134.4197,52.21,94,100,6.91,US,1666215083
454,Cap-aux-Meules,47.3821,-61.8597,55.45,94,100,14.97,CA,1666215362
455,Vuktyl,63.8567,57.3094,33.4,89,100,10.36,RU,1666215362
456,Muisne,0.6,-80.0333,75.38,80,98,10.0,EC,1666215362
457,Puerto Carreño,6.189,-67.4859,82.27,78,93,5.73,CO,1666215363
458,Verkhnyaya Toyma,62.2349,44.9985,35.82,82,100,8.28,RU,1666215363
459,Marathon,44.9,-89.7668,44.13,49,0,13.8,US,1666215263
460,Pisco,-13.7,-76.2167,66.25,68,0,13.8,PE,1666215281
461,İslahiye,37.025,36.6306,61.63,83,7,4.09,TR,1666215363
462,Paracuru,-3.41,-39.0306,80.11,81,50,15.95,BR,1666215364
463,Erciş,39.0287,43.3586,57.45,52,31,2.08,TR,1666215364
464,Luanda,-8.8368,13.2343,77.0,83,40,11.5,AO,1666215364
465,Yangi Marg`ilon,40.4272,71.7189,43.52,75,15,2.3,UZ,1666215173
466,Lompoc,34.6391,-120.4579,95.14,25,0,13.8,US,1666215187
467,Benemérito de las Américas,16.5167,-90.6439,79.86,89,57,4.0,MX,1666215365
468,Kaeo,-35.1,173.7833,59.32,79,24,9.78,NZ,1666215160
469,Martyush,56.4,61.8819,36.61,94,91,5.97,RU,1666215365
470,Sharjah city,25.3573,55.4033,85.98,89,0,3.44,AE,1666215302
471,Pitimbu,-7.4706,-34.8086,77.59,72,14,12.48,BR,1666215366
472,Bagdarin,54.4333,113.6,25.05,83,7,3.98,RU,1666215366
473,Atbasar,51.8,68.3333,45.64,76,99,15.93,KZ,1666215327
474,Ranong,9.9658,98.6348,75.54,94,100,3.62,TH,1666215366
475,Gazojak,41.1875,61.4036,52.0,35,0,10.74,TM,1666215367
476,Barranca,-10.75,-77.7667,62.56,80,73,11.03,PE,1666215367
477,Newton,42.337,-71.2092,54.95,47,0,11.5,US,1666215367
478,Kaseda-shirakame,31.4167,130.3167,60.73,70,0,10.16,JP,1666215367
479,Farafangana,-22.8167,47.8333,70.05,89,70,7.78,MG,1666215368
480,Mahanoro,-19.9,48.8,70.27,80,77,1.25,MG,1666215368
481,La Seyne-sur-Mer,43.0982,5.8847,66.88,89,39,1.57,FR,1666215368
482,Talara,-4.5772,-81.2719,72.36,64,0,17.27,PE,1666215369
483,Kasongo,-4.45,26.6667,69.08,90,99,1.95,CD,1666215369
484,Champerico,14.3,-91.9167,90.14,78,76,18.66,GT,1666215370
485,Salym,60.0625,71.4789,39.43,92,100,7.74,RU,1666215370
486,Myaundzha,63.0494,147.1858,-8.79,98,76,3.2,RU,1666215370
487,Redlands,34.0556,-117.1825,93.16,26,0,4.61,US,1666215370
488,Bow Island,49.8668,-111.3684,79.09,11,79,6.91,CA,1666215371
489,Poum,-20.2333,164.0167,76.84,69,44,10.83,NC,1666215371
490,Pavlodar,52.3,76.95,46.2,61,100,24.61,KZ,1666215371
491,Hailar,49.2,119.7,35.82,55,96,5.32,CN,1666215372
492,Kavaratti,10.5669,72.642,81.07,78,40,14.09,IN,1666215210
493,Berdigestyakh,62.0989,126.6992,21.65,93,100,8.32,RU,1666215372
494,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,70.99,91,86,2.48,AR,1666215372
495,Imeni Poliny Osipenko,52.4201,136.4853,32.86,82,100,4.9,RU,1666215372
496,Jaqué,7.5175,-78.1703,78.31,90,94,7.45,PA,1666215373
497,Sjenica,43.2731,19.9994,45.14,95,47,4.72,RS,1666215373
498,Port Blair,11.6667,92.75,79.92,79,88,9.37,IN,1666215190
499,Guasdualito,7.2424,-70.7324,78.64,90,98,2.68,VE,1666215373
500,Evensk,61.95,159.2333,16.54,75,100,9.75,RU,1666215374
501,Mishan,45.55,131.8833,38.07,63,30,8.88,CN,1666215374
502,Kaka,37.3482,59.6143,54.59,64,0,10.78,TM,1666215374
503,Canavieiras,-15.675,-38.9472,73.38,83,4,5.5,BR,1666215375
504,Karachi,24.9056,67.0822,76.82,83,40,6.91,PK,1666215113
505,Cherskiy,68.75,161.3,22.28,95,100,7.14,RU,1666215140
506,Ostrovnoy,68.0531,39.5131,37.74,76,86,38.88,RU,1666215187
507,Truro,50.2653,-5.0544,59.76,94,98,11.5,GB,1666215375
508,Hanzhong,33.0728,107.0303,54.0,85,6,1.97,CN,1666215375
509,Montes Altos,-5.8333,-47.0667,84.0,41,63,5.12,BR,1666215376
510,Ternate,0.8,127.4,81.28,80,82,3.31,ID,1666215376
511,Leningradskiy,69.3833,178.4167,31.14,94,100,22.55,RU,1666215118
512,Berezanka,46.8526,31.388,51.76,64,58,9.4,UA,1666215376
513,Padilla,3.2204,-76.3139,72.97,96,100,1.74,CO,1666215377
514,Clyde River,70.4692,-68.5914,14.23,79,75,6.91,CA,1666215268
515,Shenjiamen,29.9576,122.298,62.71,65,29,12.21,CN,1666215377
516,Divnomorskoye,44.5011,38.1353,60.21,81,5,5.91,RU,1666215377
517,Alexandria,31.2156,29.9553,68.54,72,29,7.11,EG,1666215279
518,Honggang,46.4667,124.8667,42.75,42,74,3.58,CN,1666215378
519,Dudinka,69.4058,86.1778,34.63,98,100,19.15,RU,1666215335
520,Darapidap,17.2131,120.4114,76.64,91,100,2.73,PH,1666215378
521,Bah,26.87,78.5975,72.19,57,1,5.7,IN,1666215378
522,Mezőkeresztes,47.8333,20.7,50.32,61,19,6.55,HU,1666215379
523,Bārmer,25.75,71.3833,77.34,30,13,6.2,IN,1666215379
524,Minden,52.2833,8.9167,48.47,77,75,5.75,DE,1666215379
525,Coquimbo,-29.9533,-71.3436,60.53,67,20,12.66,CL,1666215196
526,Beyneu,45.3167,55.2,52.99,40,13,12.86,KZ,1666215209
527,Melfi,40.9965,15.6514,57.76,71,0,3.62,IT,1666215380
528,Aswān,24.0934,32.907,81.7,29,0,11.5,EG,1666215380
529,Palmas Bellas,9.2319,-80.0867,82.0,86,63,7.43,PA,1666215380
530,Te Anau,-45.4167,167.7167,44.65,88,61,8.46,NZ,1666215381
531,Makat,47.6469,53.3463,52.02,75,16,9.73,KZ,1666215274
532,Kidal,18.4411,1.4078,81.99,20,3,11.52,ML,1666215381
533,Romny,50.751,33.4747,46.92,77,90,10.94,UA,1666215381
534,Rundu,-17.9333,19.7667,69.33,56,100,4.45,NA,1666215382
535,Alice Springs,-23.7,133.8833,56.75,88,0,0.0,AU,1666215382
536,Ariyalūr,11.1333,79.0833,76.82,86,93,3.67,IN,1666215382
537,Erzin,36.9559,36.2,66.27,84,8,1.68,TR,1666215187
538,Yelyzavethradka,48.8038,32.4046,48.94,76,91,10.67,UA,1666215383
539,Dīnhāta,26.1333,89.4667,68.76,84,4,5.61,IN,1666215383
540,Cayenne,4.9333,-52.3333,84.24,74,0,8.05,GF,1666215007
541,Departamento de Maldonado,-34.6667,-54.9167,68.23,84,81,9.37,UY,1666215122
542,Yueyang,29.3333,113.0919,57.87,30,99,5.1,CN,1666215383
543,Tateyama,34.9833,139.8667,51.73,62,20,5.75,JP,1666215235
544,Vitim,59.4511,112.5578,27.97,93,99,6.06,RU,1666215384
545,Pandan,14.0453,124.1694,78.26,85,86,4.05,PH,1666215384
546,Taksimo,56.3444,114.8794,27.12,92,98,3.0,RU,1666215385
547,Algeciras,36.1333,-5.4505,69.48,88,20,4.61,ES,1666215385
548,Zhuhai,22.2769,113.5678,73.18,73,40,16.11,CN,1666215385
549,Altay,47.8667,88.1167,33.62,59,100,3.09,CN,1666215386
550,Qaqortoq,60.7167,-46.0333,34.83,74,13,31.21,GL,1666215175
551,Vila Franca do Campo,37.7167,-25.4333,64.81,83,100,21.21,PT,1666215271
552,Kysyl-Syr,63.8986,122.7617,15.13,94,76,7.2,RU,1666215156
553,São Miguel do Araguaia,-13.275,-50.1628,91.17,25,84,11.74,BR,1666215386
554,Yuzhnyy,53.2542,83.6936,39.58,70,75,6.71,RU,1666215386
555,Maicao,11.3832,-72.2432,82.83,72,8,7.78,CO,1666215387
556,Port-Cartier,50.0334,-66.8654,50.22,98,100,18.28,CA,1666215387
557,Guarapari,-20.6667,-40.4975,69.89,84,36,15.48,BR,1666215231
558,Raudeberg,61.9875,5.1352,41.95,63,96,3.87,NO,1666215387
559,Bull Savanna,17.8868,-77.5902,80.22,74,47,6.51,JM,1666215256
560,Māngrol,21.1167,70.1167,78.22,50,5,8.19,IN,1666215257
561,Lodja,-3.4833,23.4333,69.93,95,88,1.54,CD,1666215388
562,Emba,48.8264,58.1442,49.15,53,82,15.73,KZ,1666215388
563,Olyka,50.7186,25.8125,40.93,88,7,10.94,UA,1666215388
564,Panjāb,34.388,67.0233,30.88,85,4,5.19,AF,1666215389
565,The Pas,53.8251,-101.2541,57.22,54,0,5.75,CA,1666215389
566,Qasigiannguit,68.8193,-51.1922,28.65,96,99,4.94,GL,1666215389
567,Marsh Harbour,26.5412,-77.0636,76.39,81,100,17.09,BS,1666215335
568,Gravelbourg,49.8834,-106.5512,71.87,24,89,3.47,CA,1666215389
569,Missoula,47.0166,-113.8009,63.64,17,0,3.96,US,1666215390
570,Kununurra,-15.7667,128.7333,80.58,83,94,4.61,AU,1666215207
571,Morón,-34.6534,-58.6198,73.29,80,98,6.33,AR,1666215334
572,Paita,-5.0892,-81.1144,64.6,79,100,19.24,PE,1666215390
573,Walvis Bay,-22.9575,14.5053,60.1,88,28,3.44,NA,1666215391
574,La Ronge,55.1001,-105.2842,59.22,51,20,5.75,CA,1666215239
575,Samarai,-10.6167,150.6667,83.62,75,22,12.26,PG,1666215188
576,Shache,38.4167,77.2406,53.71,38,100,10.36,CN,1666215391
577,Sabha,27.0377,14.4283,70.9,44,82,4.14,LY,1666215391
578,Kabardinka,44.6514,37.9428,59.25,81,1,5.82,RU,1666215392
579,Zavetnoye,47.1194,43.8903,52.56,71,8,6.91,RU,1666215392
